Garcia Rodriguez;Juan;Comptabilitat
Pérez Sánchez;Carlos;Vendes
Rodríguez Fernández;Antonio;Administració
Martínez Torres;Pedro;Tècnics
González López;Luis;Informàtica
Pujol Roca;Joan;Direcció
Ferrer Vidal;Josep;Direcció
Ruiz Martí;Miquel;Direcció
Ruiz Martinez;Carlos;Comptabilitat
Pérez García;Antonio;Vendes
Rodríguez González;Pedro;Administració
Martínez Pérez;Luis;Tècnics
González Rodríguez;Joan;Informàtica
Pujol Ferrer;Josep;Direcció
Ferrer Ruiz;Miquel;Direcció
Ruiz Garcia;Carlos;Comptabilitat
Pérez Rodriguez;Antonio;Vendes
Rodríguez Martínez;Pedro;Administració
Martínez González;Luis;Tècnics
González Pujol;Joan;Informàtica
Pujol Ferrer;Josep;Direcció
Ferrer Ruiz;Miquel;Direcció
Ruiz Garcia;Juan;Comptabilitat
Pérez Sánchez;Carlos;Vendes
Rodríguez Fernández;Antonio;Administració
Martínez Torres;Luis;Tècnics
González López;Joan;Informàtica
Ferriol Vallespir;Ana;Cap de Comptabilitat
Montamarta Crespí;Laura;Cap de Vendes
Villalonga Mateu;Marta;Cap de Administració
Torrens Igualada;David;Cap de Tècnics
Jaume Company;Alex;Cap de Informàtica
